keys,es
Inner Focus,Foco Interno
Keen Eye,Vista Lince
Hyper Cutter,Corte Fuerte
Clear Body,Cuerpo Puro
Shield Dust,Polvo Escudo
Rock Head,Cabeza Roca
Synchronize,Sincronía
Pressure,Presión
Early Bird,Madrugar
Sand Veil,Velo Arena
Rain Dish,Cura Lluvia
Cute Charm,Gran Encanto
Compound Eyes,Ojo Compuesto
Lowers the foe's Attack one stage on switch-in.,Baja un nivel el Ataque del rival al entrar en combate.
Immune to Ground-type moves.,Inmune a los movimientos de tipo Tierra.
30% to paralyze attackers on contact.,30 % de paralizar a los atacantes al contacto.
Immune to Fire moves; powers up its own Fire moves when hit by one.,Inmune a movimientos de Fuego; potencia sus propios movimientos de Fuego al recibir uno.
Survives a one-hit KO from full HP with 1 HP.,Con los PS al máximo sobrevive con 1 PS a un golpe que lo debilitaría.
Speed rises one stage at the end of each turn.,Su Velocidad sube un nivel al final de cada turno.
Summons rain on switch-in.,Invoca lluvia al entrar en combate.
Summons harsh sunlight on switch-in.,Invoca un sol abrasador al entrar en combate.
Whips up a sandstorm on switch-in.,Levanta una tormenta de arena al entrar en combate.
Doubles Speed in harsh sunlight.,Duplica la Velocidad con sol abrasador.
Doubles Speed in rain.,Duplica la Velocidad bajo la lluvia.
Attack x1.5 while statused.,"Ataque x1,5 mientras sufre un problema de estado."
Halves damage from Fire and Ice moves.,Reduce a la mitad el daño de movimientos de Fuego y Hielo.
Heals 25% when hit by Electric moves.,Recupera un 25 % al recibir movimientos Eléctricos.
Heals 25% when hit by Water moves.,Recupera un 25 % al recibir movimientos de Agua.
30% to poison attackers on contact.,30 % de envenenar a los atacantes al contacto.
30% to burn attackers on contact.,30 % de quemar a los atacantes al contacto.
30% to sleep/poison/paralyze attackers on contact.,"30 % de dormir, envenenar o paralizar a los atacantes al contacto."
Attackers lose 1/8 max HP on contact.,Los atacantes pierden 1/8 de sus PS máximos al contacto.
Grass moves x1.5 below 1/3 HP.,"Movimientos de Planta x1,5 por debajo de 1/3 de PS."
Fire moves x1.5 below 1/3 HP.,"Movimientos de Fuego x1,5 por debajo de 1/3 de PS."
Water moves x1.5 below 1/3 HP.,"Movimientos de Agua x1,5 por debajo de 1/3 de PS."
Bug moves x1.5 below 1/3 HP.,"Movimientos de Bicho x1,5 por debajo de 1/3 de PS."
Attack x1.5 but physical accuracy x0.8.,"Ataque x1,5, pero precisión física x0,8."
Doubles Attack.,Duplica el Ataque.
Status conditions heal on switch-out.,Sus problemas de estado se curan al retirarse.
Doubles move secondary-effect chances.,Duplica la probabilidad de los efectos secundarios.
33% each turn to shrug off a status condition.,33 % por turno de librarse de un problema de estado.
Cannot be poisoned.,No puede ser envenenado.
Cannot be paralyzed.,No puede ser paralizado.
Cannot fall asleep.,No puede quedarse dormido.
Cannot be burned.,No puede ser quemado.
Cannot be frozen.,No puede ser congelado.
Cannot be confused.,No puede ser confundido.
Cannot flinch.,No puede amedrentarse.
Accuracy cannot be lowered.,Su Precisión no puede bajar.
Attack cannot be lowered.,Su Ataque no puede bajar.
Stats cannot be lowered by opponents.,Los rivales no pueden bajarle las estadísticas.
Blocks incoming moves' secondary effects.,Bloquea los efectos secundarios de los movimientos que recibe.
Takes no recoil damage.,No sufre daño de retroceso.
Passes burns/poison/paralysis back to the inflicter.,"Devuelve quemaduras, veneno y parálisis a quien se los causa."
Foes spend 2 PP per move.,Los rivales gastan 2 PP por movimiento.
Wakes from sleep twice as fast.,Se despierta el doble de rápido.
Evasion up in a sandstorm.,Más Evasión en tormenta de arena.
Heals 1/16 max HP each turn in rain.,Recupera 1/16 de sus PS máximos por turno bajo la lluvia.
30% to infatuate/confuse attackers on contact.,30 % de enamorar o confundir a los atacantes al contacto.
Accuracy x1.3.,"Precisión x1,3."
Hardy,Fuerte
Lonely,Huraña
Brave,Audaz
Adamant,Firme
Naughty,Pícara
Bold,Osada
Docile,Dócil
Relaxed,Plácida
Impish,Agitada
Lax,Floja
Timid,Miedosa
Hasty,Activa
Serious,Seria
Jolly,Alegre
Naive,Ingenua
Modest,Modesta
Mild,Afable
Quiet,Mansa
Bashful,Tímida
Rash,Alocada
Calm,Serena
Gentle,Amable
Sassy,Grosera
Careful,Cauta
Quirky,Rara
Leftovers,Restos
Choice Band,Cinta Elegida
Choice Specs,Gafas Elegidas
Choice Scarf,Pañuelo Elegido
Focus Sash,Banda Focus
Life Orb,Vidasfera
Quick Claw,Garra Rápida
Rocky Helmet,Casco Dentado
Assault Vest,Chaleco Asalto
Eviolite,Mineral Evolutivo
Shell Bell,Campana Concha
King's Rock,Roca del Rey
Bright Powder,Polvo Brillo
Scope Lens,Periscopio
Silk Scarf,Pañuelo Seda
Charcoal,Carbón
Mystic Water,Agua Mística
Miracle Seed,Semilla Milagro
Magnet,Imán
Never-Melt Ice,Antiderretir
Black Belt,Cinturón Negro
Poison Barb,Flecha Venenosa
Soft Sand,Arena Fina
Sharp Beak,Pico Afilado
Twisted Spoon,Cuchara Torcida
Silver Powder,Polvo Plata
Hard Stone,Piedra Dura
Spell Tag,Hechizo
Dragon Fang,Colmillo Dragón
Lum Berry,Baya Ziuela
Sitrus Berry,Baya Zidra
Chesto Berry,Baya Atania
Cheri Berry,Baya Zreza
Rawst Berry,Baya Safre
Pecha Berry,Baya Meloc
Aspear Berry,Baya Perasi
Persim Berry,Baya Caquic
Potion,Poción
Super Potion,Superpoción
Hyper Potion,Hiperpoción
Max Potion,Máx. Poción
Full Restore,Restau. Total
Antidote,Antídoto
Awakening,Despertar
Burn Heal,Antiquemar
Ice Heal,Antihielo
Paralyze Heal,Antiparalizador
Full Heal,Cura Total
Revive,Revivir
Max Revive,Máx. Revivir
X Attack,Ataque X
X Defense,Defensa X
X Sp. Atk,At. Esp. X
X Sp. Def,Def. Esp. X
X Speed,Velocidad X
Dire Hit,Crítico X
Guard Spec.,Protec. Esp.
Fire Stone,Piedra Fuego
Water Stone,Piedra Agua
Thunder Stone,Piedra Trueno
Leaf Stone,Piedra Hoja
Moon Stone,Piedra Lunar
Sun Stone,Piedra Solar
Metal Coat,Rev. Metálico
Dragon Scale,Escama Dragón
Up-Grade,Mejora
League Table,Clasificación
Season Stats,Estadísticas
Overview,Resumen
History,Historia
YOUR POSITION,TU POSICIÓN
NEXT MATCHDAY,PRÓX. JORNADA
LEADER,LÍDER
TITLE GAP 1st-2nd,DIF. 1.º-2.º
ROUND,RONDA
YOUR STATUS,TU SITUACIÓN
HOLDERS / WINNERS,CAMPEÓN
COMPETITION,COMPETICIÓN
TBD,Por decidir
with the %s and the %s · %s,con la %s y la %s · %s
with the %s · %s,con la %s · %s
%d pts,%d ptos.
%s · %d pts,%s · %d ptos.
CS draw pending,Sorteo de la SC pendiente
Season over,Temporada terminada
CS %s %s,"SC: %s, %s"
Season %d: %s,Temporada %d: %s
Off-season,Descanso de temporada
cross-league knockout · clubs from the %s · Season %d,eliminatoria entre ligas · clubes de la %s · Temporada %d
 and , y la 
Draw pending,Sorteo pendiente
Champions,Campeones
Out (%s),Eliminado (%s)
In the draw,En el sorteo
Final played,Final disputada
Next draw pending,Próximo sorteo pendiente
Knockout competition — no league table,Competición eliminatoria: no hay clasificación
Browse the %s,Explorar la %s
‹ Back,‹ Atrás
Back to %s,Volver a %s
Club & Pokémon profile · all names are links,Perfil de club y de Pokémon · todos los nombres son enlaces
Go to club profile,Ir al perfil del club
Go to Pokémon profile,Ir al perfil del Pokémon
Go to match report,Ir a la crónica del partido
TABLE,TABLA
Pos,Pos
Pld,PJ
Won,G
Lost,P
BF,CF
BA,CC
Pts,Ptos
Form,Racha
Form (last 5),Racha (últ. 5)
Position Graph,Gráfico de posiciones
Full league standings,Clasificación completa de la liga
Standings counting each club's home matches only,Clasificación contando solo los partidos en casa de cada club
Standings counting each club's away matches only,Clasificación contando solo los partidos a domicilio de cada club
Standings over each club's last 5 played matches,Clasificación con los últimos 5 partidos disputados de cada club
Every club's league position after each matchday,La posición de cada club tras cada jornada
click a column header to sort · click again to reverse,clic en una cabecera para ordenar · clic de nuevo para invertir
hover a line to pick out a club · zones shaded behind,pasa el ratón por una línea para destacar un club · zonas sombreadas al fondo
League Champions (1st),Campeón de liga (1.º)
1st place wins the league title and tops the Championship Series seeding,El 1.º gana el título de liga y encabeza el cuadro de la Serie del Campeonato
Championship Series (1-4),Serie del Campeonato (1-4)
"Positions 1-4 of BOTH leagues enter the cross-league Championship Series
playoff after matchday 30 — its Final crowns the Indigo Champion","Los puestos 1-4 de AMBAS ligas entran en la Serie del Campeonato
tras la jornada 30; su Final corona al Campeón Añil"
Danger Zone (14-16),Zona de peligro (14-16)
"Finish 14th-16th and the board reacts at season's end:
reputation -1, transfer budget cut 25%, sponsors pull back —
and your star Pokémon may demand a move","Termina 14.º-16.º y la directiva reaccionará al final de la temporada:
reputación -1, presupuesto de fichajes recortado un 25 %, patrocinadores en retirada...
y tu Pokémon estrella podría pedir salir"
Your club,Tu club
 · home matches only, · solo partidos en casa
 · away matches only, · solo partidos a domicilio
 · last 5 matches per club, · últimos 5 partidos por club
%s · season starts %s · %d clubs,%s · la temporada empieza el %s · %d clubes
%s · after Matchday %d of %d%s · click a club for its profile,%s · tras la jornada %d de %d%s · clic en un club para ver su perfil
%s · the position graph appears after Matchday 1 completes,%s · el gráfico de posiciones aparece al completarse la jornada 1
%s · league position after each of %d completed matchday%s · your club in accent,%s · posición tras cada una de las %d jornada%s completadas · tu club destacado
Season %s · %d leagues of 16 · double round-robin · %s,Temporada %s · %d ligas de 16 · doble vuelta · %s
Current matchday,Jornada actual
League matches played,Partidos de liga disputados
Battles fought (all regions),Combates librados (todas las regiones)
First matchday,Primera jornada
Final matchday,Última jornada
Next Matchday,Próxima jornada
"Season complete — awards done, the next season
starts after the off-season break (see your Inbox).","Temporada completada: premios entregados; la siguiente
empieza tras el descanso (mira tu Bandeja)."
Cup %s,Copa: %s
In,Dentro de
%d day%s,%d día%s
Fixtures that day,Partidos ese día
You have no remaining fixtures.,No te quedan partidos.
YOUR NEXT MATCH,TU PRÓXIMO PARTIDO
%s — view club profile,%s: ver perfil del club
Go to fixture preview,Ir a la previa del partido
Their form,Su racha
%s · Title Race,%s · Lucha por el título
Your position,Tu posición
Gap to top,Distancia al líder
%d pt%s,%d punto%s
Lead at the top,Ventaja del líder
Open the %s table ›,Abrir la tabla de la %s ›
%s · Cross-League Knockout,%s · Eliminatoria entre ligas
Draw not yet made.,Sorteo aún no realizado.
Clubs in the draw,Clubes en el sorteo
%d · both leagues,%d · ambas ligas
Current round,Ronda actual
%s (%d of %d),%s (%d de %d)
Round date,Fecha de la ronda
CHAMPIONS!,¡CAMPEONES!
Eliminated in %s by %s,Eliminado en %s por %s
Still in the cup,Sigue vivo en la copa
Your tie,Tu eliminatoria
%s [%s] (H) · %s,%s [%s] (L) · %s
%s [%s] (A) · %s,%s [%s] (V) · %s
Clubs remaining,Clubes en liza
Open the bracket ›,Abrir el cuadro ›
Go to the cup bracket,Ir al cuadro de la copa
Your Recent Results,Tus últimos resultados
No matches played yet.,Aún no se han disputado partidos.
First up:,Debut:
on %s.,el %s.
%s (H),%s (L)
%s (A),%s (V)
%d-%d vs %s (H),%d-%d vs %s (L)
%d-%d vs %s (A),%d-%d vs %s (V)
Match Detail,Detalle del partido
All Competitions,Todas las competiciones
My Fixtures,Mis partidos
Go To Current Date,Ir a la fecha actual
No fixtures match the current filter.,Ningún partido coincide con el filtro actual.
"Select a fixture to see the match report,
or an upcoming tie for a preview.","Selecciona un partido para ver la crónica
o un duelo próximo para ver la previa."
Match data unavailable.,Datos del partido no disponibles.
"Full match report unavailable — this result was recorded before
detailed match reports were kept. The score above is official.","Crónica completa no disponible: este resultado se registró antes
de guardar crónicas detalladas. El marcador de arriba es oficial."
BEST-OF-3 BATTLES,AL MEJOR DE 3 COMBATES
Battle %d,Combate %d
PERFORMERS  ·  KOs / damage / match rating,DESTACADOS  ·  KO / daño / nota del partido
Player of the Match:,Jugador del partido:
Kick-off,Inicio
%s · in %d day%s,%s · en %d día%s
League position,Posición en liga
%s form,Racha de %s
no matches yet,aún sin partidos
MEETINGS THIS SEASON,ENFRENTAMIENTOS ESTA TEMPORADA
Go to this match report,Ir a la crónica de este partido
Bracket,Cuadro
Road to the Final,Camino a la Final
The full cross-league knockout tree,El cuadro completo de la eliminatoria entre ligas
"Your cup run, round by round, plus every round's results","Tu andadura copera, ronda a ronda, con los resultados de cada ronda"
Cup draw not yet made,Sorteo de copa aún no realizado
CHAMPION,CAMPEÓN
%s are the %s champions,%s es campeón de la %s
completed - next draw pending,completada · próximo sorteo pendiente
ties on %s,duelos el %s
Winners of %s,Ganadores de la %s
To be decided,Por decidir
The first-round draw has not been made yet.,El sorteo de la primera ronda aún no se ha realizado.
%s · Road to the Final,%s · Camino a la Final
CUP WINNERS — the %s is yours!,¡CAMPEONES DE COPA! ¡La %s es tuya!
Champions:,Campeón:
Out in the %s — the road ends here this season.,Eliminado en la %s: el camino acaba aquí esta temporada.
Still alive — at most %d win%s from the trophy.,Sigue vivo: a lo sumo %d victoria%s del trofeo.
not in this round,no está en esta ronda
awaiting the draw,a la espera del sorteo
top four of each league · seeded knockout · winner is %s,los cuatro primeros de cada liga · eliminatoria con cabezas de serie · el ganador es %s
qualification race · after matchday %d of %d,carrera por la clasificación · tras la jornada %d de %d
Qualification line — top four go through,Línea de clasificación: pasan los cuatro primeros
HOW IT WORKS,CÓMO FUNCIONA
"After matchday 30, positions 1-4 of the Kanto and Johto","Tras la jornada 30, los puestos 1-4 de los campeonatos"
championships enter a seeded cross-league knockout:,de Kanto y Johto entran en una eliminatoria entre ligas:
  Quarter-finals   %s,  Cuartos de final   %s
  Semi-finals      %s,  Semifinales        %s
  Final            %s,  Final              %s
Seeding keeps the two league champions apart: each plays,El sorteo separa a los dos campeones de liga: cada uno juega
